carat,cut,color,clarity,depth,table,price,x,y,z,cluster
0.31,3,3,3,61.5,55.0,442,4.34,4.36,2.68,0
0.39,5,6,5,62.0,54.0,988,4.7,4.72,2.92,0
0.31,3,6,3,62.9,57.0,516,4.31,4.34,2.72,0
0.32,5,7,5,62.1,55.0,900,4.42,4.4,2.74,0
0.38,5,4,5,61.5,56.0,680,4.67,4.69,2.88,0
0.3,4,7,4,62.7,60.0,675,4.28,4.24,2.67,0
0.34,3,8,3,62.8,58.0,626,4.44,4.48,2.8,0
0.31,4,4,4,60.6,59.0,707,4.36,4.38,2.65,0
0.32,5,8,5,61.1,56.0,758,4.39,4.41,2.69,0
0.35,4,7,4,60.8,60.0,614,4.51,4.57,2.76,0
0.31,5,5,5,61.3,57.0,891,4.39,4.42,2.7,0
0.3,5,6,5,62.5,57.0,621,4.26,4.28,2.67,0
0.35,5,6,5,61.9,55.0,782,4.53,4.58,2.82,0
0.36,5,4,5,61.4,57.0,587,4.59,4.63,2.83,0
0.3,5,5,5,62.1,55.0,863,4.32,4.34,2.69,0
0.36,4,5,4,61.7,59.0,932,4.59,4.55,2.82,0
0.31,2,4,2,63.2,57.0,544,4.29,4.32,2.72,0
0.32,4,7,4,62.6,58.0,702,4.36,4.4,2.74,0
0.41,5,8,5,63.0,53.0,744,4.74,4.79,3.0,0
0.32,5,5,5,61.8,56.0,786,4.39,4.41,2.72,0
0.27,5,6,5,61.8,55.0,760,4.14,4.21,2.57,0
0.31,4,8,4,61.2,60.0,571,4.35,4.41,2.68,0
0.4,5,7,5,62.5,57.0,707,4.7,4.74,2.95,0
0.33,4,8,4,60.3,61.0,933,4.51,4.48,2.71,0
0.35,5,7,5,61.6,55.0,984,4.54,4.49,2.78,0
0.34,3,5,3,59.6,62.0,556,4.54,4.56,2.71,0
0.41,3,6,3,61.9,55.0,769,4.78,4.81,2.97,0
0.43,4,5,4,62.7,56.0,968,4.83,4.8,3.02,0
0.3,2,8,2,63.4,55.0,515,4.22,4.26,2.69,0
0.38,5,4,5,62.1,53.9,832,4.64,4.69,2.9,0
0.36,4,7,4,60.3,59.0,789,4.58,4.64,2.78,0
0.32,5,5,5,62.4,55.0,842,4.37,4.38,2.73,0
0.41,5,3,5,62.3,53.0,785,4.77,4.79,2.98,0
0.33,5,5,5,61.0,56.0,925,4.48,4.51,2.74,0
0.48,5,5,5,62.0,54.0,841,5.04,5.06,3.13,0
0.31,3,7,3,63.2,59.0,698,4.31,4.24,2.7,0
0.25,3,7,3,61.3,57.0,480,4.05,4.08,2.49,0
0.35,5,8,5,61.6,55.0,644,4.53,4.56,2.8,0
0.3,3,4,3,61.6,62.0,421,4.24,4.3,2.63,0
0.26,5,4,5,61.2,56.0,468,4.11,4.16,2.53,0
0.3,5,2,5,61.9,56.0,630,4.33,4.3,2.67,0
0.35,5,3,5,60.9,57.0,709,4.59,4.54,2.78,0
0.39,4,6,4,61.3,62.0,860,4.71,4.68,2.88,0
0.3,5,5,5,61.9,57.0,422,4.28,4.31,2.66,0
0.32,5,6,5,61.7,56.0,990,4.42,4.4,2.72,0
0.32,3,4,3,62.7,57.0,730,4.36,4.41,2.75,0
0.3,5,5,5,62.0,54.0,545,4.33,4.35,2.69,0
0.3,5,7,5,62.0,55.0,844,4.3,4.25,2.65,0
0.39,4,2,4,62.5,58.0,921,4.67,4.61,2.9,0
0.48,5,3,5,61.9,53.0,841,5.06,5.08,3.14,0
0.38,5,5,5,62.0,57.0,879,4.64,4.66,2.89,0
0.34,4,7,4,61.9,59.0,596,4.44,4.48,2.76,0
0.31,5,5,5,60.2,61.0,755,4.39,4.41,2.65,0
0.42,5,7,5,62.6,57.0,773,4.81,4.84,3.02,0
0.3,5,7,5,61.1,56.0,982,4.38,4.36,2.67,0
0.36,4,5,4,61.9,56.0,608,4.59,4.55,2.83,0
0.3,3,8,3,59.7,58.0,681,4.39,4.32,2.6,0
0.31,4,7,4,60.0,59.0,872,4.39,4.35,2.62,0
0.45,5,5,5,61.9,54.0,709,4.91,4.95,3.05,0
0.42,3,5,3,62.2,58.0,737,4.73,4.75,2.95,0
0.32,5,8,5,61.6,56.0,758,4.37,4.4,2.7,0
0.32,2,6,2,63.5,56.0,421,4.35,4.37,2.77,0
0.31,5,3,5,61.3,56.0,436,4.37,4.4,2.69,0
0.41,3,6,3,63.1,56.0,878,4.73,4.69,2.97,0
0.3,5,7,5,61.4,56.0,795,4.32,4.34,2.66,0
0.33,5,4,5,60.6,56.0,564,4.46,4.49,2.72,0
0.41,5,2,5,62.8,56.0,707,4.73,4.79,2.99,0
0.33,4,3,4,62.1,58.0,891,4.43,4.39,2.74,0
0.33,5,8,5,61.7,55.0,724,4.46,4.48,2.76,0
0.39,5,6,5,61.8,55.0,886,4.7,4.72,2.91,0
0.36,5,6,5,61.5,55.0,828,4.59,4.62,2.83,0
0.3,5,4,5,62.3,55.0,526,4.29,4.34,2.69,0
0.4,5,4,5,62.4,56.0,704,4.69,4.73,2.94,0
0.39,2,6,2,63.3,55.0,788,4.63,4.66,2.94,0
0.33,5,3,5,61.8,55.0,403,4.49,4.51,2.78,0
0.26,3,6,3,61.4,56.0,401,4.13,4.16,2.54,0
0.32,5,5,5,62.2,56.0,936,4.38,4.34,2.71,0
0.35,3,4,3,60.1,62.0,745,4.52,4.57,2.73,0
0.27,5,5,5,61.4,55.0,459,4.19,4.21,2.58,0
0.41,2,7,2,61.3,61.0,954,4.77,4.79,2.93,0
0.3,4,6,4,62.5,58.0,605,4.26,4.28,2.67,0
0.31,5,5,5,61.7,56.0,408,4.34,4.38,2.69,0
0.46,5,4,5,62.3,53.0,983,4.96,4.99,3.1,0
0.26,4,4,4,62.5,58.0,600,4.11,4.08,2.56,0
0.38,4,4,4,60.5,59.0,700,4.66,4.69,2.83,0
0.26,5,5,5,62.0,56.0,545,4.12,4.15,2.56,0
0.31,5,5,5,61.7,55.0,871,4.37,4.39,2.7,0
0.3,4,4,4,62.2,58.0,878,4.29,4.26,2.66,0
0.32,3,8,3,63.5,55.0,756,4.35,4.31,2.75,0
0.42,4,7,4,61.2,60.0,873,4.86,4.81,2.96,0
0.41,5,6,5,61.7,54.0,809,4.79,4.81,2.96,0
0.32,4,7,4,60.5,59.0,900,4.43,4.39,2.67,0
0.31,4,3,4,62.8,60.0,537,4.31,4.29,2.7,0
0.31,5,5,5,61.0,56.0,891,4.38,4.41,2.68,0
0.47,5,7,5,61.5,55.0,931,4.98,5.04,3.08,0
0.5,4,5,4,62.4,61.0,863,5.02,4.98,3.12,0
0.4,5,8,5,60.8,57.0,990,4.81,4.77,2.91,0
0.34,5,7,5,61.4,56.0,973,4.51,4.54,2.78,0
0.33,5,4,5,60.7,57.0,521,4.46,4.5,2.72,0
0.33,4,6,4,60.0,60.0,740,4.49,4.45,2.68,0
0.31,5,6,5,62.0,55.2,515,4.32,4.35,2.69,0
0.33,3,5,3,60.0,63.0,752,4.45,4.49,2.68,0
0.3,5,6,5,61.4,57.0,776,4.36,4.34,2.67,0
0.3,4,7,4,61.4,59.0,789,4.32,4.34,2.66,0
0.35,3,4,3,61.8,56.0,552,4.54,4.58,2.82,0
0.31,5,3,5,60.9,57.0,635,4.37,4.4,2.67,0
0.31,2,4,2,63.1,58.0,544,4.26,4.3,2.7,0
0.27,3,4,3,61.2,57.0,504,4.15,4.18,2.55,0
0.35,5,7,5,61.9,56.0,829,4.51,4.53,2.8,0
0.28,3,6,3,60.1,59.0,642,4.24,4.25,2.55,0
0.32,4,4,4,62.4,58.0,561,4.35,4.4,2.73,0
0.31,2,5,2,63.8,57.0,625,4.29,4.33,2.75,0
0.3,4,4,4,62.1,59.0,491,4.25,4.28,2.65,0
0.24,3,6,3,61.3,54.0,461,4.02,4.07,2.47,0
0.3,5,7,5,62.8,54.0,838,4.27,4.3,2.69,0
0.32,4,4,4,61.4,58.0,730,4.37,4.42,2.7,0
0.3,5,5,5,61.4,55.0,673,4.38,4.32,2.67,0
0.31,5,4,5,60.9,56.0,671,4.4,4.42,2.69,0
0.32,4,7,4,60.1,60.0,720,4.47,4.42,2.67,0
0.3,3,5,3,63.0,56.0,526,4.27,4.3,2.7,0
0.33,5,8,5,61.9,57.0,781,4.42,4.47,2.75,0
0.32,3,7,3,63.3,55.0,672,4.36,4.33,2.75,0
0.38,4,6,4,60.5,59.0,800,4.67,4.72,2.84,0
0.4,4,8,4,63.0,59.0,798,4.69,4.64,2.94,0
0.31,5,6,5,62.6,57.0,802,4.33,4.27,2.69,0
0.32,4,3,4,60.7,59.0,561,4.4,4.43,2.68,0
0.3,5,6,5,62.0,53.7,601,4.31,4.33,2.68,0
0.3,4,7,4,61.3,60.0,675,4.28,4.24,2.61,0
0.41,2,8,2,63.8,56.0,947,4.72,4.68,3.0,0
0.31,5,3,5,62.0,54.0,732,4.37,4.34,2.7,0
0.3,5,6,5,62.2,53.0,857,4.3,4.32,2.68,0
0.37,5,5,5,61.0,56.0,608,4.61,4.68,2.84,0
0.34,5,7,5,61.4,54.0,596,4.5,4.53,2.77,0
0.3,3,8,3,60.1,58.0,666,4.35,4.37,2.62,0
0.32,4,5,4,62.5,60.0,828,4.35,4.29,2.7,0
0.4,4,6,4,62.8,59.0,945,4.72,4.71,2.96,0
0.31,3,5,3,60.9,57.0,559,4.37,4.39,2.67,0
0.31,4,7,4,61.6,59.0,872,4.35,4.32,2.67,0
0.3,4,4,4,62.3,58.0,675,4.28,4.26,2.66,0
0.4,3,4,3,62.1,56.0,746,4.72,4.75,2.94,0
0.31,5,3,5,62.0,54.0,571,4.34,4.37,2.7,0
0.39,4,5,4,61.7,57.0,854,4.77,4.7,2.92,0
0.32,2,4,2,64.3,58.0,912,4.33,4.28,2.77,0
0.31,5,5,5,61.9,56.0,924,4.36,4.39,2.71,0
0.33,3,8,3,61.2,59.0,948,4.4,4.43,2.7,0
0.34,5,5,5,61.4,55.0,616,4.51,4.54,2.78,0
0.31,4,7,4,61.0,58.0,734,4.37,4.39,2.67,0
0.3,4,4,4,61.3,58.0,761,4.32,4.3,2.64,0
0.4,3,5,3,61.7,61.0,673,4.63,4.68,2.87,0
0.31,5,4,5,62.6,55.0,544,4.31,4.35,2.71,0
0.35,4,3,4,61.8,58.0,552,4.5,4.53,2.79,0
0.37,3,7,3,59.9,59.0,649,4.68,4.7,2.81,0
0.53,3,2,3,62.7,56.0,996,5.15,5.18,3.24,0
0.31,4,2,4,60.7,60.0,523,4.39,4.34,2.65,0
0.29,3,7,3,60.0,57.0,619,4.33,4.34,2.6,0
0.41,5,8,5,60.8,57.0,791,4.8,4.84,2.93,0
0.32,5,7,5,61.9,56.0,707,4.42,4.47,2.75,0
0.3,5,8,5,60.8,57.0,911,4.34,4.31,2.63,0
0.33,4,3,4,62.8,58.0,572,4.43,4.39,2.77,0
0.34,5,6,5,62.1,56.0,686,4.47,4.51,2.79,0
0.31,3,7,3,60.8,61.0,435,4.39,4.43,2.68,0
0.41,4,2,4,62.0,55.0,830,4.77,4.74,2.95,0
0.31,2,7,2,63.1,55.0,544,4.33,4.36,2.74,0
0.35,3,7,3,60.2,60.0,669,4.54,4.57,2.74,0
0.32,5,8,5,61.5,55.0,808,4.43,4.45,2.73,0
0.31,5,5,5,62.6,57.0,924,4.3,4.32,2.7,0
0.37,4,8,4,61.9,59.0,874,4.65,4.62,2.87,0
0.31,5,4,5,62.2,54.0,609,4.36,4.38,2.72,0
0.32,5,7,5,61.6,55.0,900,4.42,4.41,2.72,0
0.32,5,3,5,60.9,56.7,529,4.41,4.44,2.69,0
0.24,5,4,5,60.7,57.0,504,4.02,4.05,2.44,0
0.42,4,6,4,61.5,58.0,992,4.83,4.8,2.96,0
0.31,5,8,5,60.9,57.0,777,4.38,4.42,2.68,0
0.3,3,8,3,61.0,61.0,447,4.25,4.31,2.61,0
0.32,5,3,5,60.8,54.0,864,4.47,4.44,2.71,0
0.29,2,7,2,62.7,62.0,617,4.19,4.23,2.64,0
0.3,4,4,4,62.7,59.0,878,4.32,4.29,2.7,0
0.39,3,4,3,63.1,58.0,921,4.66,4.63,2.93,0
0.3,5,5,5,61.6,58.0,545,4.27,4.3,2.64,0
0.31,5,5,5,61.5,57.0,671,4.32,4.36,2.67,0
0.24,3,7,3,60.0,57.0,552,4.07,4.1,2.45,0
0.32,5,7,5,60.9,56.0,813,4.41,4.43,2.69,0
0.5,1,5,1,64.9,57.0,727,5.01,4.97,3.24,0
0.36,5,6,5,61.6,56.0,819,4.62,4.64,2.85,0
0.4,4,6,4,62.5,59.0,737,4.67,4.71,2.93,0
0.4,1,5,1,64.6,55.0,722,4.62,4.64,2.99,0
0.39,4,5,4,60.4,61.0,942,4.73,4.71,2.85,0
0.33,5,5,5,61.6,55.0,743,4.46,4.43,2.74,0
0.32,3,8,3,60.0,56.0,644,4.5,4.53,2.71,0
0.32,4,4,4,61.7,59.0,648,4.4,4.35,2.7,0
0.3,2,5,2,63.3,57.0,684,4.23,4.27,2.69,0
0.3,4,5,4,61.8,60.0,776,4.32,4.29,2.66,0
0.33,5,7,5,61.9,54.0,917,4.43,4.45,2.75,0
0.4,4,7,4,62.2,58.0,945,4.74,4.71,2.94,0
0.3,3,7,3,62.8,54.0,930,4.3,4.33,2.71,0
0.38,5,4,5,61.2,56.0,697,4.7,4.74,2.89,0
0.33,5,8,5,61.3,56.0,492,4.45,4.49,2.74,0
0.41,4,7,4,61.3,59.0,876,4.85,4.8,2.96,0
0.33,5,5,5,61.5,56.0,992,4.46,4.48,2.75,0
0.31,2,7,2,63.1,57.0,544,4.28,4.31,2.71,0
0.31,5,6,5,62.4,55.0,761,4.33,4.36,2.71,0
0.25,3,5,3,61.9,57.0,407,4.05,4.08,2.51,0
0.34,4,8,4,59.7,59.0,803,4.57,4.54,2.72,0
0.31,4,4,4,61.2,59.0,625,4.34,4.38,2.67,0
0.3,5,4,5,62.4,55.0,491,4.28,4.31,2.68,0
0.42,4,5,4,60.6,58.0,847,4.83,4.88,2.94,0
0.36,4,5,4,61.2,60.0,932,4.59,4.56,2.8,0
0.26,5,4,5,62.1,56.0,448,4.13,4.15,2.56,0
0.24,3,7,3,62.8,58.0,478,3.92,3.95,2.47,0
0.41,4,6,4,59.0,58.0,604,4.87,4.89,2.88,0
0.34,3,7,3,63.1,56.0,571,4.51,4.46,2.83,0
0.31,5,6,5,62.3,54.0,815,4.38,4.39,2.73,0
0.33,5,5,5,61.2,55.0,743,4.49,4.46,2.74,0
0.36,5,7,5,62.0,54.0,887,4.56,4.6,2.84,0
0.3,3,3,3,61.2,60.0,552,4.27,4.29,2.62,0
0.31,5,8,5,62.4,54.0,815,4.35,4.37,2.72,0
0.36,4,5,4,62.0,59.0,689,4.56,4.53,2.82,0
0.36,5,5,5,61.8,54.0,794,4.59,4.61,2.84,0
0.37,5,4,5,61.9,54.0,815,4.63,4.65,2.87,0
0.38,5,8,5,62.0,53.0,599,4.68,4.71,2.91,0
0.44,4,3,4,60.8,57.0,990,4.93,4.88,2.98,0
0.3,3,4,3,63.0,54.0,421,4.27,4.3,2.7,0
0.32,4,3,4,60.3,58.0,864,4.45,4.41,2.67,0
0.3,4,7,4,62.3,58.0,675,4.32,4.29,2.68,0
0.32,3,8,3,62.8,57.0,477,4.35,4.38,2.74,0
0.41,2,7,2,63.6,58.0,904,4.74,4.72,3.01,0
0.4,5,6,5,61.6,55.0,619,4.73,4.75,2.92,0
0.31,4,3,4,59.2,60.0,628,4.45,4.4,2.62,0
0.38,5,6,5,60.8,58.0,963,4.69,4.72,2.86,0
0.32,4,4,4,60.9,58.0,730,4.4,4.43,2.69,0
0.39,5,4,5,61.9,55.7,654,4.66,4.71,2.9,0
0.31,3,8,3,63.5,55.0,732,4.3,4.27,2.72,0
0.36,5,7,5,61.8,56.0,817,4.55,4.58,2.82,0
0.3,5,7,5,61.7,57.0,710,4.28,4.31,2.65,0
0.34,5,3,5,60.2,57.0,589,4.54,4.5,2.72,0
0.32,4,6,4,61.3,60.0,645,4.37,4.4,2.69,0
0.23,5,6,5,61.9,57.0,530,3.93,3.96,2.44,0
0.3,5,6,5,62.1,57.0,694,4.27,4.29,2.66,0
0.37,5,8,5,61.5,57.0,681,4.6,4.63,2.84,0
0.3,3,4,3,60.8,58.0,605,4.34,4.37,2.65,0
0.3,4,7,4,61.3,59.0,710,4.28,4.33,2.64,0
0.39,5,7,5,61.0,55.0,614,4.74,4.77,2.9,0
0.4,5,6,5,62.6,56.0,790,4.71,4.72,2.95,0
0.28,5,6,5,61.8,56.0,642,4.22,4.26,2.62,0
0.33,5,5,5,61.5,55.0,713,4.47,4.51,2.76,0
0.4,2,7,2,63.5,56.0,737,4.67,4.72,2.98,0
0.32,5,2,5,62.3,57.0,499,4.44,4.33,2.73,0
0.42,4,4,4,62.4,57.0,984,4.83,4.78,3.0,0
0.31,5,7,5,60.8,57.0,816,4.36,4.39,2.66,0
0.45,2,7,2,64.1,62.0,680,4.82,4.75,3.07,0
0.36,5,7,5,61.7,55.0,742,4.57,4.6,2.83,0
0.32,3,8,3,63.0,58.0,589,4.36,4.4,2.76,0
0.43,3,8,3,59.1,58.0,931,4.92,4.96,2.92,0
0.41,5,2,5,62.5,54.0,731,4.78,4.79,2.99,0
0.43,2,7,2,63.6,55.0,669,4.8,4.83,3.06,0
0.3,3,3,3,62.0,58.0,473,4.25,4.3,2.65,0
0.25,3,6,3,59.6,56.0,436,4.13,4.16,2.47,0
0.33,4,7,4,60.2,58.0,743,4.55,4.49,2.72,0
0.36,5,5,5,61.1,55.0,571,4.58,4.62,2.81,0
0.53,4,6,4,61.3,58.0,886,5.22,5.18,3.19,0
0.3,4,4,4,61.0,58.0,526,4.28,4.31,2.62,0
0.4,4,6,4,62.3,57.0,945,4.74,4.67,2.93,0
0.32,5,3,5,62.0,55.3,553,4.39,4.42,2.73,0
0.32,5,5,5,61.8,55.0,449,4.4,4.43,2.73,0
0.26,5,3,5,62.0,56.0,385,4.13,4.09,2.55,0
0.33,4,3,4,61.0,58.0,743,4.46,4.42,2.71,0
0.42,4,7,4,62.5,55.0,992,4.83,4.8,3.01,0
0.33,5,5,5,61.6,56.0,506,4.43,4.47,2.74,0
0.36,5,7,5,62.4,55.0,810,4.58,4.55,2.85,0
0.23,3,7,3,59.7,54.0,485,4.02,4.05,2.41,0
0.41,4,7,4,60.2,60.0,969,4.82,4.78,2.89,0
0.33,5,3,5,62.2,56.0,891,4.45,4.42,2.76,0
0.34,5,7,5,62.2,55.0,745,4.48,4.49,2.79,0
0.41,3,8,3,62.7,58.0,683,4.75,4.78,2.99,0
0.3,5,8,5,61.6,57.0,709,4.32,4.28,2.65,0
0.31,4,5,4,61.5,60.0,544,4.31,4.34,2.66,0
0.4,4,7,4,61.4,58.0,882,4.81,4.77,2.94,0
0.3,5,6,5,61.8,53.0,621,4.32,4.36,2.68,0
0.3,4,7,4,60.0,60.0,526,4.36,4.38,2.62,0
0.3,5,4,5,62.0,55.0,764,4.33,4.35,2.69,0
0.4,1,5,1,59.9,67.0,960,4.81,4.77,2.87,0
0.26,3,8,3,62.1,60.0,554,4.03,4.12,2.53,0
0.36,5,6,5,61.5,56.0,770,4.62,4.59,2.83,0
0.3,3,5,3,62.4,57.0,789,4.27,4.29,2.67,0
0.3,3,7,3,61.7,56.0,526,4.27,4.29,2.64,0
0.46,1,5,1,63.4,68.0,911,4.88,4.8,3.07,0
0.34,5,6,5,63.0,54.0,727,4.5,4.48,2.83,0
0.33,2,8,2,63.4,56.0,492,4.4,4.43,2.8,0
0.33,5,7,5,62.0,56.0,928,4.48,4.46,2.77,0
0.25,5,5,5,61.5,56.0,525,4.06,4.08,2.5,0
0.35,4,7,4,62.2,58.0,718,4.47,4.5,2.79,0
0.32,3,3,3,62.4,56.0,505,4.31,4.37,2.71,0
0.42,4,6,4,60.0,59.0,992,4.88,4.85,2.92,0
0.3,2,4,2,63.5,58.0,473,4.24,4.27,2.7,0
0.33,5,8,5,61.3,56.0,608,4.44,4.46,2.73,0
0.36,4,8,4,60.0,58.0,537,4.58,4.62,2.76,0
0.31,4,7,4,60.5,60.0,680,4.34,4.36,2.63,0
0.59,1,5,1,64.6,56.0,903,5.26,5.2,3.38,0
0.41,5,6,5,61.4,57.0,753,4.76,4.79,2.93,0
0.27,3,7,3,61.8,55.0,518,4.18,4.21,2.59,0
0.32,5,8,5,61.7,55.0,454,4.39,4.42,2.72,0
0.3,4,7,4,60.0,58.0,658,4.37,4.4,2.63,0
0.3,5,8,5,61.1,55.0,574,4.35,4.32,2.65,0
0.37,5,5,5,60.8,57.0,833,4.66,4.61,2.82,0
0.32,3,8,3,62.9,56.0,550,4.38,4.4,2.76,0
0.27,3,6,3,61.8,56.0,682,4.19,4.2,2.6,0
0.35,5,6,5,62.5,57.0,906,4.53,4.5,2.82,0
0.36,4,8,4,61.4,58.0,663,4.56,4.59,2.81,0
0.33,5,6,5,62.1,54.0,854,4.46,4.43,2.76,0
0.3,5,7,5,62.0,55.0,658,4.3,4.35,2.68,0
0.34,3,4,3,61.0,55.0,632,4.52,4.55,2.76,0
0.33,5,8,5,60.9,56.0,631,4.48,4.45,2.72,0
0.31,5,5,5,62.6,57.0,907,4.33,4.29,2.7,0
0.41,4,7,4,61.3,59.0,683,4.8,4.85,2.96,0
0.32,5,5,5,61.6,57.0,612,4.42,4.38,2.71,0
0.38,3,7,3,59.2,60.0,866,4.73,4.77,2.81,0
0.3,5,6,5,61.8,57.0,694,4.28,4.33,2.66,0
0.34,4,6,4,59.8,58.0,566,4.53,4.57,2.72,0
0.4,2,7,2,63.9,58.0,882,4.67,4.63,2.97,0
0.31,3,3,3,59.3,59.0,406,4.38,4.42,2.61,0
0.31,4,5,4,61.2,59.0,471,4.36,4.4,2.68,0
0.31,3,6,3,61.4,55.0,914,4.39,4.41,2.7,0
0.32,4,3,4,61.9,58.0,648,4.4,4.36,2.71,0
0.37,3,7,3,61.2,55.0,779,4.63,4.68,2.85,0
0.38,5,2,5,62.0,54.0,525,4.67,4.71,2.91,0
0.31,5,3,5,62.2,53.0,557,4.36,4.38,2.72,0
0.31,3,3,3,63.0,58.0,489,4.29,4.32,2.71,0
